db_name,table_name,column_name
,project_type,id
,project_type,name
,project_type,subscriptionId
,project_type,createdAt
,project_type,updatedAt
,project_type,dt
,project_phase,id
,project_phase,name
,project_phase,status
,project_phase,orderNumber
,project_phase,subscriptionId
,project_phase,flags
,project_phase,leaderContacted
,project_phase,createdAt
,project_phase,updatedAt
,project_phase,dt
,project_action,id
,project_action,phone
,project_action,phoneFor
,project_action,memo
,project_action,actDate
,project_action,userId
,project_action,projectId
,project_action,projectTypeId
,project_action,projectPhaseId
,project_action,sendFormId
,project_action,sendEmailId
,project_action,phoneCallId
,project_action,isNextAction
,project_action,sendDmId
,project_action,sequenceId
,project_action,sequenceCommonId
,project_action,createdAt
,project_action,updatedAt
,project_action,permissionId
,project_action,ownerUserGroupId
,project_action,clientPersonName
,project_action,dt
,project,id
,project,name
,project,completedDate
,project,clientPersonName
,project,createdAt
,project,updatedAt
,project,userId
,project,subscriptionId
,project,companyId
,project,productId
,project,lastUpdatedProjectActionId
,subscription,id
,subscription,uuid
,subscription,companyId
,subscription,companyName
,subscription,startDate
,subscription,addMemberPrice
,subscription,wantDepartmentIds
,subscription,customDownloadLimit
,subscription,customNumDepartmentDownloadLimit
,subscription,customNumDepartmentViewLimit
,subscription,customNumKeyPersonLimit
,subscription,customNumAccountLimit
,subscription,customCanDownloadDepartment
,subscription,customCanViewPersonData
,subscription,customCanViewDepartmentData
,subscription,customCanUseTier
,subscription,customCanUseWorkflow
,subscription,canViewComixData
,subscription,isHealthScoreTarget
,subscription,expireDate
,subscription,salesforceWebhookUrl
,subscription,slackIntegrationToken
,subscription,domain
,subscription,enableSanSan
,subscription,enableSalesforce
,subscription,enableHubSpot
,subscription,enableKintone
,subscription,appExchangeClientId
,subscription,canUseDm
,subscription,canUseEngage
,subscription,canUseItReviewIntent
,subscription,canUseZoomPhoneCall
,subscription,allowedIpAddresses
,subscription,authenticationMethods
,subscription,formCost
,subscription,mailCost
,subscription,userCost
,subscription,keywordCost
,subscription,companyDownloadCost
,subscription,departmentDataDownloadCost
,subscription,departmentDataViewCost
,subscription,intentCallPrice
,subscription,intentSnsPrice
,subscription,intentLetterPrice
,subscription,intentDmStandardPrice
,subscription,intentDmStandardPressPrice
,subscription,miitelCtiPrice
,subscription,smPhoneCtiPrice
,subscription,freeUserCount
,subscription,freeKeywordCount
,subscription,specialDiscount
,subscription,payment
,subscription,planPrice
,subscription,memo
,subscription,sfId
,subscription,defaultUserGroupId
,subscription,maxSession
,subscription,systemUserId
,subscription,canUseBranch
,subscription,canUseJobListingTable
,subscription,inNegotiation
,subscription,canSharePrivateData
,subscription,canDownloadOpportunitySummary
,subscription,subsActiveApps
,subscription,dueDate
,subscription,freeCompanyListExportCount
,subscription,intentFormFreeBudget
,subscription,intentFormFreeBudgetOverall
,subscription,intentAdFreeBudget
,subscription,intentMailFreeBudget
,subscription,intentCallFreeBudget
,subscription,intentSnsFreeBudget
,subscription,disableCsvUpload
,subscription,createdAt
,subscription,updatedAt
,subscription,dt
,user,id
,user,cognitoId
,user,apiToken
,user,email
,user,name
,user,companyName
,user,emailVerified
,user,receiveEmail
,user,phoneNumber
,user,phoneNumberVerified
,user,jobPosition
,user,department
,user,purposeOfUse
,user,mainDuties
,user,intentGraphVisited
,user,personTableVisited
,user,deactivatedDate
,user,isOnlyStoryUser
,user,isFreeAccount
,user,mainUserGroupId
,user,firstName
,user,lastName
,user,urlForScheduling
,user,activeApplications
,user,level
,user,currentTutorial
,user,experiencePoints
,user,nickname
,user,isVisibleProfile
,user,profileImageId
,user,defaultProductId
,user,defaultTargetId
,user,defaultUspId
,user,createdAt
,user,updatedAt
,user,lastActivityDate
,user,subscriptionId
,user,roleId
,user,upsellTechnologiesToken
,user,dt

